City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,borba,-4.3878,-59.5939,303.01,84,71,0.9,BR,1713899945
1,port-aux-francais,-49.35,70.2167,277.4,68,38,16.96,TF,1713899946
2,constitucion,-35.3333,-72.4167,290.84,44,0,6.46,CL,1713899946
3,al bawiti,28.3492,28.8659,302.42,9,0,2.81,EG,1713899947
4,mujiayingzi,42.1167,118.7833,277.26,71,0,3.04,CN,1713899948
5,grytviken,-54.2811,-36.5092,271.05,74,30,16.32,GS,1713899948
6,sitka,57.0531,-135.33,283.09,53,75,4.63,US,1713899950
7,nagqu,31.5,92.0,274.62,36,93,1.86,CN,1713899951
8,tralee,52.2704,-9.7026,283.79,87,97,2.87,IE,1713899861
9,stanley,54.868,-1.6985,279.97,78,20,4.63,GB,1713899952
10,blackmans bay,-43.0167,147.3167,282.22,84,100,0.89,AU,1713899954
11,puerto iguazu,-25.5991,-54.5736,295.57,96,75,5.66,AR,1713899955
12,oriximina,-1.7656,-55.8661,302.93,75,88,0.94,BR,1713899956
13,iqaluit,63.7506,-68.5145,263.0,79,100,13.38,CA,1713899957
14,troitsko-pechorsk,62.7084,56.1964,270.76,82,100,4.47,RU,1713899958
15,sumy,50.9216,34.8003,282.61,71,89,2.4,UA,1713899959
16,waitangi,-43.9535,-176.5597,286.38,91,100,3.13,NZ,1713899960
17,katabu,-4.9333,122.5167,297.59,97,64,1.95,ID,1713899961
18,namibe,-15.1961,12.1522,297.1,80,100,2.26,AO,1713899968
19,toungo,8.1167,12.05,304.53,31,94,1.56,NG,1713899969
20,kyrenia,35.3417,33.3167,293.9,59,100,2.93,CY,1713899698
21,qamdo,31.1667,97.2333,274.92,78,100,0.94,CN,1713899970
22,reggane,26.7158,0.1714,300.77,15,0,1.43,DZ,1713899972
23,ulsteinvik,62.3432,5.8487,279.12,84,100,5.36,NO,1713899682
24,cabo san lucas,22.8909,-109.9124,305.32,30,0,2.57,MX,1713899975
25,san patricio,28.017,-97.5169,299.18,70,100,6.03,US,1713899975
26,rio grande,-32.035,-52.0986,302.21,78,100,2.21,BR,1713899865
27,cheremukhovo,60.3484,59.9851,271.46,72,100,3.13,RU,1713899978
28,tazovsky,67.4667,78.7,256.65,97,38,4.15,RU,1713899994
29,ancud,-41.8697,-73.8203,285.09,62,96,2.91,CL,1713899737
30,puerto ayora,-0.7393,-90.3518,304.13,89,97,1.34,EC,1713899996
31,vikhorevka,56.1201,101.1636,268.92,90,46,1.32,RU,1713899996
32,hiratacho,35.4333,132.8167,291.16,100,75,1.03,JP,1713899997
33,teknaf,20.8624,92.3058,299.26,86,2,1.51,BD,1713899998
34,yellowknife,62.456,-114.3525,275.05,72,75,2.06,CA,1713899999
35,tadine,-21.55,167.8833,297.78,91,100,7.29,NC,1713899999
36,ilulissat,69.2167,-51.1,285.16,40,75,8.75,GL,1713900000
37,tateyama,34.9833,139.8667,289.32,81,100,6.0,JP,1713900002
38,al kharijah,25.4514,30.5464,304.15,8,0,2.54,EG,1713899786
39,tofol,5.3248,163.0078,301.57,81,54,6.92,FM,1713900003
40,kone,-21.0595,164.8658,295.99,96,0,0.79,NC,1713899722
41,puerto natales,-51.7236,-72.4875,284.4,46,100,10.29,CL,1713899723
42,i-n-salah,27.1935,2.4607,299.77,16,38,3.0,DZ,1713900006
43,adamstown,-25.066,-130.1015,296.01,80,100,8.75,PN,1713900007
44,sandnessjoen,66.0217,12.6316,277.27,70,75,3.09,NO,1713900008
45,anadyr,64.75,177.4833,264.43,92,100,1.0,RU,1713900008
46,katsuren-haebaru,26.3369,127.8719,296.36,96,75,3.6,JP,1713900009
47,ribeira grande,38.5167,-28.7,291.37,68,20,7.72,PT,1713900010
48,mili,6.0815,171.735,301.09,84,100,9.3,MH,1713900012
49,zhanibek,49.4167,46.85,288.84,51,28,5.21,KZ,1713900013
50,hawaiian paradise park,19.5933,-154.9731,298.17,84,0,5.14,US,1713900014
51,bethel,41.3712,-73.414,292.16,36,0,4.63,US,1713900014
52,skelleftea,64.7507,20.9528,271.48,100,75,2.57,SE,1713900015
53,tiksi,71.6872,128.8694,262.41,95,100,3.97,RU,1713900016
54,ujae,8.9322,165.7642,300.84,85,34,9.76,MH,1713900020
55,west island,-12.1568,96.8225,298.14,94,75,8.75,CC,1713900021
56,muang phonsavan,19.45,103.2167,293.92,68,9,1.07,LA,1713900022
57,mount isa,-20.7333,139.5,290.02,77,1,0.0,AU,1713900023
58,sechura,-5.5569,-80.8222,301.16,60,99,5.76,PE,1713900024
59,badger,64.8,-147.5333,282.29,56,40,1.54,US,1713900025
60,lugovoy,42.9472,72.7644,287.02,74,86,3.47,KZ,1713900026
61,la'ie,21.6477,-157.9253,300.13,71,3,4.47,US,1713900026
62,hermanus,-34.4187,19.2345,289.25,91,100,0.9,ZA,1713900027
63,isla vista,34.4133,-119.861,291.07,76,75,3.6,US,1713900028
64,nuuk,64.1835,-51.7216,279.49,70,75,4.12,GL,1713900032
65,kassala,15.451,36.4,307.41,16,5,5.49,SD,1713900032
66,kodiak,57.79,-152.4072,278.88,100,100,2.57,US,1713900002
67,olonkinbyen,70.9221,-8.7187,271.85,71,0,3.02,SJ,1713900036
68,sao jose da coroa grande,-8.8978,-35.1478,301.71,75,100,3.28,BR,1713900036
69,moose jaw,50.4001,-105.5344,291.29,14,20,4.63,CA,1713899752
70,tefe,-3.3542,-64.7114,304.21,74,40,3.09,BR,1713900038
71,kearney,40.6995,-99.0815,292.46,29,0,8.75,US,1713900039
72,papatowai,-46.5619,169.4708,286.13,83,100,3.42,NZ,1713900040
73,galliano,29.4422,-90.2992,298.71,46,40,2.06,US,1713900040
74,east london,-33.0153,27.9116,295.33,82,100,5.3,ZA,1713900021
75,wailua homesteads,22.0669,-159.378,298.39,79,100,8.23,US,1713900042
76,margate,51.3813,1.3862,281.98,71,98,5.81,GB,1713900043
77,isafjordur,66.0755,-23.124,279.56,64,45,0.75,IS,1713900028
78,port mathurin,-19.6833,63.4167,300.26,75,43,7.44,MU,1713900044
79,aykhal,66.0,111.5,268.26,97,100,3.1,RU,1713900046
80,petropavlovsk-kamchatsky,53.0452,158.6483,275.07,85,0,2.0,RU,1713900049
81,akbarabad,29.2464,52.7793,287.94,59,0,1.44,IR,1713900050
82,tsetserleg,47.475,101.4542,271.76,96,100,1.79,MN,1713900051
83,thompson,55.7435,-97.8558,269.24,36,0,1.54,CA,1713900051
84,realico,-35.0366,-64.2447,291.62,33,0,5.01,AR,1713900052
85,las tablas,7.7667,-80.2833,308.25,99,24,5.05,PA,1713899961
86,flin flon,54.7682,-101.865,277.06,38,0,4.12,CA,1713900054
87,burao,9.5221,45.5336,299.72,57,52,2.78,SO,1713900054
88,invercargill,-46.4,168.35,285.38,87,100,3.15,NZ,1713900058
89,bemidji,47.4736,-94.8803,282.35,70,100,6.69,US,1713899842
90,novodvinsk,64.4165,40.8122,275.25,97,100,3.63,RU,1713900060
91,chernyshevskiy,63.0128,112.4714,270.92,94,100,2.65,RU,1713900060
92,bilibino,68.0546,166.4372,252.64,96,54,1.94,RU,1713900061
93,ushuaia,-54.8,-68.3,277.96,75,40,1.03,AR,1713899842
94,cabedelo,-6.9811,-34.8339,304.52,76,100,4.19,BR,1713899879
95,keflavik,64.0049,-22.5624,284.1,87,100,2.06,IS,1713900064
96,richards bay,-28.783,32.0377,294.84,84,92,1.13,ZA,1713900065
97,bhitarwar,25.8,78.1167,302.45,20,6,3.28,IN,1713900066
98,ardatov,55.2421,43.097,283.63,73,5,4.15,RU,1713900067
99,nova sintra,14.8667,-24.7167,296.1,74,22,5.33,CV,1713899785
100,atafu village,-8.5421,-172.5159,302.5,76,19,4.34,TK,1713900071
101,port elizabeth,-33.918,25.5701,289.31,94,75,1.03,ZA,1713900071
102,talara,-4.5772,-81.2719,302.57,61,0,7.72,PE,1713900073
103,guerrero negro,27.9769,-114.0611,292.28,57,1,6.34,MX,1713900074
104,paracuru,-3.41,-39.0306,302.1,85,100,2.52,BR,1713900074
105,whitehorse,60.7161,-135.0538,279.87,45,75,1.54,CA,1713900076
106,margaret river,-33.95,115.0667,282.85,75,5,4.88,AU,1713900080
107,beloyarskiy,63.7119,66.6722,259.26,98,46,1.79,RU,1713900081
108,yima,34.7381,111.8839,286.14,35,6,0.54,CN,1713900081
109,suva,-18.1416,178.4415,297.86,100,40,2.06,FJ,1713900083
110,broome,42.2506,-75.833,292.84,37,0,7.2,US,1713900084
111,callao,-12.0667,-77.15,296.31,78,20,5.14,PE,1713900085
112,tangalle,6.024,80.7911,300.79,84,99,1.75,LK,1713900088
113,edinburgh of the seven seas,-37.0676,-12.3116,289.22,76,100,6.1,SH,1713900089
114,beichengqu,40.4394,113.1536,281.66,31,0,1.86,CN,1713900090
115,jincheng,35.5022,112.8328,287.01,25,0,0.12,CN,1713900091
116,praia da vitoria,38.7333,-27.0667,290.29,82,75,5.73,PT,1713900091
117,iskateley,67.6803,53.1512,259.83,84,17,3.58,RU,1713899845
118,albany,42.6001,-73.9662,293.66,27,6,4.47,US,1713900020
119,chibougamau,49.9168,-74.3659,274.94,93,100,5.14,CA,1713899848
120,mhamid,29.82,-5.72,301.94,12,4,3.0,MA,1713900089
121,morristown,36.214,-83.2949,296.14,30,0,6.69,US,1713900072
122,hammerfest,70.6634,23.6821,272.4,93,75,6.69,NO,1713900104
123,port alfred,-33.5906,26.891,292.69,95,96,5.57,ZA,1713900105
124,urangan,-25.3,152.9,291.59,95,19,2.24,AU,1713900109
125,antofagasta,-23.65,-70.4,293.75,80,15,4.03,CL,1713900065
126,volzhskiy,48.7858,44.7797,286.88,47,2,4.69,RU,1713900111
127,longyearbyen,78.2186,15.6401,271.06,80,0,2.06,SJ,1713900112
128,coahuayana de hidalgo,18.7,-103.6583,306.09,33,100,3.64,MX,1713900113
129,batroun,34.2553,35.6581,295.87,56,97,2.5,LB,1713900113
130,brzeziny,51.8002,19.7514,280.05,72,100,3.17,PL,1713900114
131,palu,-0.8917,119.8707,298.07,94,99,1.55,ID,1713900115
132,ketchikan,55.3422,-131.6461,280.41,87,100,2.57,US,1713900116
133,mendoza,-32.8908,-68.8272,291.89,32,20,3.09,AR,1713899837
134,hatillo,18.4863,-66.8254,303.72,77,100,1.79,PR,1713900117
135,chiavenna,46.3216,9.3986,280.69,74,100,3.94,IT,1713900118
136,beruniy,41.6911,60.7525,297.13,33,0,3.09,UZ,1713900119
137,bamboo flat,11.7,92.7167,301.2,89,20,1.03,IN,1713900120
138,lebu,-37.6167,-73.65,286.86,56,75,2.47,CL,1713900121
139,college,64.8569,-147.8028,282.33,57,40,1.79,US,1713900122
140,bayt lahya,31.5464,34.4951,296.87,50,99,4.45,PS,1713900122
141,leh,34.1667,77.5833,266.18,64,28,2.22,IN,1713900123
142,kalmunai,7.4167,81.8167,300.72,81,97,2.91,LK,1713900131
143,lihue,21.9789,-159.3672,298.73,74,100,8.23,US,1713900132
144,aasiaat,68.7098,-52.8699,275.6,84,58,6.19,GL,1713900133
145,uturoa,-16.7333,-151.4333,301.07,75,7,2.0,PF,1713900134
146,shache,38.4167,77.2406,294.14,28,100,6.13,CN,1713900134
147,galle,6.0367,80.217,301.39,79,100,2.11,LK,1713900139
148,visnagar,23.7,72.55,300.43,32,0,2.62,IN,1713900140
149,hithadhoo,-0.6,73.0833,301.99,76,100,4.18,MV,1713900140
150,walvis bay,-22.9575,14.5053,287.68,94,31,1.03,NA,1713900141
151,glace bay,46.1969,-59.957,284.14,48,75,6.69,CA,1713900142
152,hadibu,12.65,54.0333,301.86,73,8,1.23,YE,1713900143
153,hamilton,39.1834,-84.5333,293.58,41,0,7.72,US,1713899928
154,chui,-33.6971,-53.4616,296.15,80,23,4.14,UY,1713900145
155,bibiani,6.4635,-2.3194,294.21,99,100,0.66,GH,1713900147
156,crane,31.3974,-102.3501,303.42,27,0,2.45,US,1713900147
157,susuman,62.7833,148.1667,264.81,95,84,1.34,RU,1713900149
158,talnakh,69.4865,88.3972,262.15,90,87,0.62,RU,1713900150
159,mansa,29.9833,75.3833,299.23,25,0,2.26,IN,1713900151
160,fale old settlement,-9.3852,-171.2468,302.81,74,14,4.54,TK,1713900151
161,dunedin,-45.8742,170.5036,286.37,60,100,2.67,NZ,1713899852
162,port douglas,-16.4833,145.4667,297.54,88,100,4.27,AU,1713900153
163,puttaparthi,14.1652,77.8117,303.7,27,41,6.26,IN,1713900153
164,vorgashor,67.5833,63.95,254.71,100,52,2.26,RU,1713899932
165,murray bridge,-35.1167,139.2667,283.34,58,6,4.17,AU,1713900158
166,zahedan,29.4963,60.8629,291.1,48,75,3.09,IR,1713900158
167,lautoka,-17.6167,177.4667,298.07,88,20,2.57,FJ,1713900166
168,ovalle,-30.5983,-71.2003,299.36,30,9,2.37,CL,1713900056
169,zabol,32.25,67.25,288.69,38,99,3.17,AF,1713900168
170,tura,25.5198,90.2201,299.29,53,100,3.67,IN,1713900168
171,dryden,49.7833,-92.7503,276.31,41,0,6.69,CA,1713900170
172,fort mcmurray,56.7268,-111.381,287.88,28,75,3.09,CA,1713900171
173,bismarck,46.8083,-100.7837,287.52,24,0,6.17,US,1713900171
174,utrik,11.2278,169.8474,299.99,86,29,10.03,MH,1713900172
175,miri,4.4148,114.0089,300.23,94,40,0.51,MY,1713900173
176,xuanzhou,30.9525,118.7553,288.73,85,100,0.66,CN,1713900175
177,iquique,-20.2208,-70.1431,296.17,77,0,4.34,CL,1713900140
178,harstad,68.799,16.5293,274.9,78,100,4.92,NO,1713900177
179,siracusa,37.0881,15.2792,288.92,56,0,4.62,IT,1713900040
180,derbent,42.0678,48.2899,289.6,51,1,2.13,RU,1713900214
181,port isabel,26.0734,-97.2086,301.2,73,100,8.75,US,1713900215
182,ryotsu-minato,38.0833,138.4333,285.48,86,100,3.89,JP,1713899933
183,jamestown,42.097,-79.2353,291.92,31,100,7.72,US,1713900216
184,polyarnyy,69.1989,33.4478,272.13,91,38,7.12,RU,1713900179
185,ambodifotatra,-16.9833,49.85,300.59,77,15,2.76,MG,1713900218
186,bredasdorp,-34.5322,20.0403,289.5,94,100,0.91,ZA,1713900219
187,portland,45.5234,-122.6762,295.72,30,75,4.12,US,1713900226
188,christchurch,-43.5333,172.6333,283.12,77,100,1.54,NZ,1713900189
189,newman,37.3138,-121.0208,293.85,57,4,4.47,US,1713900230
190,lengshuitan,26.4111,111.5956,291.91,81,100,0.47,CN,1713900230
191,inarajan village,13.2736,144.7484,299.69,94,100,6.26,GU,1713900231
192,codrington,-38.2667,141.9667,284.93,66,41,8.48,AU,1713900239
193,georgetown,5.4112,100.3354,303.12,83,20,1.54,MY,1713900082
194,praia,14.9215,-23.5087,297.45,64,75,5.66,CV,1713900226
195,ajdabiya,30.7554,20.2263,291.22,79,100,9.3,LY,1713900245
196,rubtsovsk,51.5,81.25,276.78,49,83,2.6,RU,1713900245
197,nadi,-17.8,177.4167,298.15,88,20,2.57,FJ,1713900247
198,santa maria del oro,25.9333,-105.3667,302.04,9,8,2.18,MX,1713900249
199,koungou,-12.7336,45.2042,299.99,89,0,0.0,YT,1713900249
200,donaghadee,54.6333,-5.5333,282.32,77,10,1.79,GB,1713900250
201,pottsville,40.6857,-76.1955,293.68,37,86,4.02,US,1713900075
202,holualoa,19.6228,-155.9522,297.9,83,40,3.09,US,1713900032
203,ingeniero guillermo n. juarez,-23.9,-61.85,303.17,69,100,3.39,AR,1713900259
204,avarua,-21.2078,-159.775,298.18,83,89,0.51,CK,1713900260
205,pisco,-13.7,-76.2167,298.18,65,0,2.57,PE,1713900267
206,bunia,1.5667,30.25,294.24,77,100,0.61,CD,1713900268
207,oranjemund,-28.55,16.4333,288.43,93,100,2.97,NA,1713900269
208,ugep,5.8086,8.0812,302.0,68,85,2.11,NG,1713900270
209,bryan,30.6744,-96.37,297.5,64,100,6.69,US,1713900160
210,el tocuyo,9.7873,-69.7937,300.99,65,100,1.14,VE,1713900271
211,constantia,44.1833,28.65,283.54,88,100,8.98,RO,1713900272
212,antonio enes,-16.2325,39.9086,298.64,77,34,3.37,MZ,1713900272
213,byron bay,-28.65,153.6167,288.78,89,2,3.27,AU,1713900273
214,meulaboh,4.1363,96.1285,299.21,91,100,1.69,ID,1713900274
215,lesnoy,57.6198,63.0784,275.61,56,99,3.52,RU,1713900274
216,hastings,50.8552,0.5729,281.99,78,98,7.11,GB,1713900249
217,udachny,66.4167,112.4,268.4,95,97,3.92,RU,1713900276
218,shenjiamen,29.9576,122.298,287.77,93,51,3.84,CN,1713900276
219,port lincoln,-34.7333,135.8667,286.57,55,100,6.39,AU,1713900278
220,touros,-5.1989,-35.4608,302.05,74,100,4.86,BR,1713900279
221,lively,46.4334,-81.1498,283.16,87,100,4.08,CA,1713900279
222,vadso,70.0744,29.7487,271.24,86,75,5.66,NO,1713900280
223,tomatlan,19.9333,-105.25,306.13,35,27,4.96,MX,1713900281
224,nar'yan-mar,67.6713,53.087,259.88,84,17,3.58,RU,1713900281
225,lai chau,22.3997,103.4517,292.45,82,2,1.7,VN,1713900282
226,hadithah,34.1397,42.3781,300.24,14,0,3.2,IQ,1713900284
227,ust'-kulom,61.6864,53.6902,273.58,92,100,4.97,RU,1713900285
228,wewak,-3.5534,143.6268,300.09,82,92,1.66,PG,1713900285
229,kasamwa,-2.85,32.4333,292.55,95,100,1.06,TZ,1713900286
230,ocean city,39.2776,-74.5746,290.29,56,0,5.36,US,1713900142
231,tromso,69.6496,18.957,272.16,86,100,0.51,NO,1713900076
232,shevchenko,48.5,35.0,286.29,53,100,4.28,UA,1713900289
233,grand falls-windsor,48.9332,-55.6649,282.87,36,0,0.89,CA,1713900290
234,longjing,42.7714,129.4233,278.27,88,100,2.5,CN,1713900290
235,okha,53.5739,142.9478,273.29,89,100,4.92,RU,1713900291
236,kill devil hills,36.0307,-75.676,292.15,41,0,3.6,US,1713900071
237,el nido,11.1858,119.3956,301.34,81,87,2.9,PH,1713900213
238,pavlodar,52.3,76.95,278.04,56,0,3.0,KZ,1713900293
239,kirakira,-10.4544,161.9205,299.73,79,21,1.0,SB,1713900293
240,barakani,-12.1356,44.4317,300.89,79,100,1.8,KM,1713900294
241,zaragoza,41.6561,-0.8773,284.27,45,0,10.29,ES,1713900028
242,tazacorte,28.629,-17.9293,294.34,76,40,4.12,ES,1713900296
243,santa terezinha,-29.9002,-50.0904,298.38,75,2,1.4,BR,1713900296
244,insar,53.8653,44.3738,282.13,73,20,4.57,RU,1713900297
245,weno,7.4515,151.8468,301.12,94,100,4.12,FM,1713900298
246,echuca,-36.1333,144.75,282.57,88,0,5.36,AU,1713900300
247,huayin,34.5675,110.0921,288.59,36,3,3.77,CN,1713900300
248,onega,63.9061,38.1404,275.66,99,100,4.06,RU,1713900301
249,hasaki,35.7333,140.8333,288.37,70,100,6.19,JP,1713900302
250,nahiyat al fuhud,30.9697,46.7228,302.75,18,0,7.54,IQ,1713900304
251,yambio,4.5721,28.3955,301.77,42,100,0.57,SS,1713900305
252,remire-montjoly,4.9167,-52.2667,303.17,74,75,7.72,GF,1713900306
253,rovaniemi,66.5,25.7167,272.82,100,100,4.63,FI,1713900313
254,rouissat,31.9243,5.3502,298.19,19,0,3.6,DZ,1713900314
255,monchegorsk,67.9397,32.8739,271.92,99,100,0.92,RU,1713900315
256,pasni,25.2631,63.471,299.41,80,100,4.79,PK,1713900316
257,enewetak,11.3474,162.3373,300.68,82,100,8.86,MH,1713900089
258,camiri,-20.05,-63.5167,307.03,43,40,0.0,BO,1713900318
259,kataysk,56.289,62.5841,275.88,81,100,5.96,RU,1713900320
260,magistral'nyy,56.1725,107.4458,272.24,89,100,1.78,RU,1713900321
261,kailua-kona,19.6406,-155.9956,300.53,80,40,3.09,US,1713900321
262,mount gambier,-37.8333,140.7667,284.09,61,24,3.97,AU,1713900322
263,colonia,50.9333,6.95,282.56,61,0,2.57,DE,1713900245
264,beidao,34.5686,105.8933,284.91,53,100,1.54,CN,1713900323
265,san blas,21.5167,-105.2667,311.09,44,5,4.09,MX,1713900324
266,lata,40.1629,-8.3327,289.77,65,0,1.5,PT,1713900325
267,punta arenas,-53.15,-70.9167,282.21,71,75,8.23,CL,1713900033
268,arraial do cabo,-22.9661,-42.0278,302.13,78,20,7.2,BR,1713900326
269,barcelos,41.5388,-8.6151,293.62,59,0,2.1,PT,1713900132
270,st. john's,47.5649,-52.7093,282.68,41,40,8.23,CA,1713900033
271,tansen,27.8673,83.5467,290.39,29,0,3.16,NP,1713900328
272,pacific grove,36.6177,-121.9166,290.57,69,100,7.15,US,1713900329
273,khandyga,62.6667,135.6,275.13,95,100,3.06,RU,1713900330
274,lompoc,34.6391,-120.4579,291.27,64,100,3.6,US,1713900330
275,saguenay,48.4168,-71.0657,291.61,24,75,10.29,CA,1713900332
276,gbarnga,6.9956,-9.4722,302.25,61,96,1.41,LR,1713900333
277,new norfolk,-42.7826,147.0587,282.87,95,100,2.08,AU,1713900333
278,tamanrasset,22.785,5.5228,300.1,13,0,5.14,DZ,1713900334
279,zhongshu,24.5167,103.7667,285.6,96,7,1.7,CN,1713900335
280,maceio,-9.6658,-35.7353,302.84,74,75,3.6,BR,1713900257
281,la sarre,48.8002,-79.1996,271.65,96,100,6.04,CA,1713900331
282,correntina,-13.3433,-44.6367,305.92,33,93,2.94,BR,1713900337
283,dire,12.2833,-10.9667,310.36,17,15,2.07,ML,1713900338
284,oban,56.4127,-5.4706,282.25,73,10,3.02,GB,1713900338
285,gadzhiyevo,69.2551,33.3362,271.58,91,43,6.11,RU,1713900339
286,fuglafjordur,62.244,-6.814,278.41,72,84,4.56,FO,1713900340
287,brisas de zicatela,15.8369,-97.0419,303.44,70,0,3.09,MX,1713900341
288,ciudad lazaro cardenas,17.9583,-102.2,303.23,41,98,4.63,MX,1713900341
289,ivdel',60.6911,60.4206,272.14,72,100,3.58,RU,1713900123
290,qaqortoq,60.7167,-46.0333,276.01,94,100,1.17,GL,1713900344
291,geraldton,-28.7667,114.6,294.38,37,99,10.29,AU,1713900344
292,lingcheng,22.7072,110.3492,296.9,88,47,2.24,CN,1713900345
293,uusikaupunki,60.8004,21.4084,272.02,83,100,3.88,FI,1713900347
294,kapa'a,22.0752,-159.319,299.14,79,100,8.23,US,1713900347
295,souillac,-20.5167,57.5167,299.36,89,75,0.0,MU,1713900348
296,timimoun,29.2639,0.231,301.36,11,0,1.54,DZ,1713900350
297,ariquemes,-9.9133,-63.0408,305.4,61,52,0.69,BR,1713900350
298,karratha,-20.7377,116.8463,296.98,49,24,4.7,AU,1713900351
299,seme,15.1942,-12.9448,310.52,15,27,3.52,SN,1713900352
